id,rarity,name_en,name_zh_tw,description_en,description_zh_tw,trigger_type,condition,visible_effects,hidden_effects,channel_hooks,family_hooks,incompatible_with,designer_notes,drafting_favor,drafting_strongly_favor,drafting_suppress,unlock_tags,redirect_tags,narrative_tags,registered_species_rule,start_fix_bonus
T1001,Common,Sharp Eyes,,You notice details other people miss.,,start,,INT +2,Unlocks selected early-detection branches.,,medical; investigation,,Straightforward useful Common; stronger than +1 to make low rarity still feel relevant.,,,,early_detection,,medical;investigation,,
T1002,Common,Knows Excel,,Your parents remain unsure whether this counts as a professional qualification.,,threshold_once,INT>=5,When INT >= 5: MNY +2,Favors office/corporate ordinary events.,ordinary,corporate; finance,,Can trigger at start or years later after INT rises.,family:CAR;family:COR,,,,,office;corporate,,
T1003,Common,Heavy Sleeper,,You can sleep through almost anything.,,start,,SPR +2,Suppresses some early overnight symptom-detection events and enables delayed variants.,,medical; transformation_symptom,,"Visible benefit, hidden risk.",,,,delayed_symptom_variant,,overnight_symptom_detection;medical,,
T1004,Common,Likes Pigeons,,They seem to like you too.,,passive,,No direct attribute modifier,Favors parks/public-square events; unlocks rare monument epilogue interactions.,ordinary,civic; outdoor; memorial,,Apparently trivial talent with rare long-tail payoff.,family:CIV,,,monument_epilogue,,parks;public_square;pigeons,,
T1005,Common,Built Different,,Your physician dislikes this phrase.,,start,,"STR +3, INT -1",None.,,,,"Blunt, slightly stupid numeric comedy.",,,,,,,,
T1006,Common,Bad Knees,,Standing for long periods has never been your specialty.,,start,,STR -1,Favors seated/supported Permanent Form variants where authored.,,display; memorial,,Nominally negative but can redirect presentation outcomes.,,,,,seated_form;supported_form,display;memorial,,
T1007,Common,Pretty Privilege,,Society has made several regrettable decisions in your favor.,,threshold_once,CHR>=8,When CHR >= 8: MNY +3,Favors selected social and luxury-service branches.,institutional,finance; luxury; social,,Explicit threshold talent; may trigger after CHR rises during life.,family:SOC,,,,,luxury;social,,
T1008,Common,"No Thoughts, Head Empty",,Life is considerably easier when you stop examining it.,,start,,"INT -2, SPR +4",None.,,,,Mechanics deliver the joke rather than contradicting the text.,,,,,,,,
T1009,Common,Frugal,,You can make three coins behave suspiciously like five.,,threshold_once,MNY<=3,When MNY <= 3: MNY +2,"Favors lower-cost branches in insurance, treatment, and preservation.",institutional,finance; insurance; medical,,Can rescue a poor run without equating synthetic forms with cheapness.,,,,low_cost_branch,,insurance;treatment;preservation;finance;medical,,
T1010,Common,Keeps a Low Profile,,You prefer not to become the center of attention.,,start,,SPR +1,"Suppresses celebrity, political-symbol, and public-display families.",institutional,celebrity; political_symbol; display,T1023,Does not forbid public endings.,,,,,,celebrity;political_symbol;public_display,,
T1011,Uncommon,Stoneworker's Daughter,,You knew the difference between granite and marble before long division.,,passive,,No direct attribute modifier,Favors stone family; unlocks craft/restoration branches.,transformation,stone; craft; restoration,,Upbringing alters destiny across all species.,family:STON,,,craft;restoration,,stone,,
T1012,Uncommon,Perfect Posture,,People keep telling you to hold that pose.,,start,,CHR +2,"Favors memorial, ceremonial, modeling, and standing display variants.",institutional,memorial; ceremonial; display,,Clear benefit with visible long-term risk.,,,,standing_display_variant,,memorial;ceremonial;modeling;display,,
T1013,Uncommon,Property Lawyer,,"You know exactly how disturbing the phrase ""fixture attached to land"" can become.",,passive,,No direct attribute modifier,"Unlocks legal branches involving self-ownership, liens, bankruptcy, inheritance, and attached-property disputes.",institutional,legal; finance,,Automatic branches only; no player choice UI.,,,,self_ownership;liens;bankruptcy;inheritance;attached_property,,legal;finance,,
T1014,Uncommon,Corporate Favorite,,Management sees long-term potential in you.,,start,,"MNY +3, SPR -1",Favors promotions and corporate-preservation chains.,institutional,corporate,,Career success creates preservation exposure.,family:COR,,,,,corporate;promotion;preservation,,
T1015,Uncommon,Second Opinion,,One doctor is an opinion. Two doctors are paperwork.,,passive,,No direct attribute modifier,Unlocks alternative automatic branches when irreversible treatment is proposed.,institutional,medical,,"Provides alternative outcomes, not player options.",,,,alternate_medical_branch,,medical,,
T1016,Uncommon,"No Pain, No Gain",,Your body has filed several complaints. None were reviewed.,,start,,"STR +3, SPR -1",Suppresses some early warning events; favors delayed severe variants.,transformation,symptom; medical,,Strong early benefit with delayed risk.,,,,delayed_severe_variant,,symptom;medical;early_warning,,
T1017,Uncommon,Late Bloomer,,Eventually everyone agrees you were merely taking your time.,,threshold_once,AGE>=35 & CHR<=5,When AGE >= 35 and CHR <= 5: CHR +4,None.,,,,Demonstrates age-plus-stat threshold triggers.,,,,,,,,
T1018,Rare,Museum Quality,,"Curators use words like ""preservation potential"" around you.",,start,,CHR +3,"Strongly favors museum/display routes, including acquisition and ownership disputes.",institutional,museum; display; art,,Prestige is not autonomy.,,family:MUS,,,,museum;display;art,,
