id,primary_family,title_en,title_zh_tw,description_en,description_zh_tw,core_routes,allowed_materials,typical_forms,default_awareness,legal_status,ownership,autonomy,conversion_consent,typical_location,social_meaning,discovery_class,hidden,designer_notes
END-COR-001,COR,Employee of the Century,,The protagonist becomes a permanent corporate display while remaining officially associated with the company.,,Corporate,flexible,statue; mannequin; preserved humanoid,Unconscious,Corporate Asset or Contractual Post-Mobile Citizen,Corporation or contractual self-ownership,Contractual or Restricted,route-derived,corporate headquarters,employee; memorial; brand asset,common,false,HR insists this counts as retention.
END-COR-002,COR,Benefits Package,,Employer-sponsored preservation permanently stabilizes the protagonist; the procedure succeeds according to the contract.,,Corporate; Medical,synthetic; temporal; crystal; compatible other,preserved humanoid; mannequin; temporal still-frame,Unconscious; Suspended if temporal,Contractual Post-Mobile Citizen,Self or Corporation depending event,Contractual,route-derived,corporate facility; hospital; headquarters,employee; insured beneficiary,common,false,Success is defined contractually.
END-MUS-001,MUS,Permanent Collection,,The protagonist becomes part of a recognized museum collection.,,Museum,wood; marble; crystal; porcelain; glass; synthetic; compatible other,statue; preserved figure; mannequin,Unconscious,Cultural Property or Post-Mobile Citizen,Museum; Self with museum custody; Disputed,Restricted or Represented,route-derived,museum,artwork; cultural property; citizen,common,false,Prestige does not imply autonomy.
END-MUS-002,MUS,"Excellent Condition, Minor Wear",,The protagonist survives indefinitely through regular conservation work and becomes progressively maintained or modified.,,Museum; Restoration,wood; stone; ceramic; synthetic; mixed,statue; preserved figure; installation,Unconscious,Cultural Property or Post-Mobile Citizen,Museum or Self with custody,Restricted or Represented,route-derived,museum; conservation facility,artwork; conservation subject,uncommon,false,Condition-report terminology becomes the joke.
END-MUS-003,MUS,Crystal Archivist,,"The protagonist's crystal structure preserves information unusually well, making the Permanent Form both person-history and archive.",,Museum; Academic,crystal; gemstone,preserved humanoid; archive object,Uncertain,Cultural Property; Research Subject; Disputed,Museum; University; Self,Represented or Restricted,route-derived,museum; archive; university,archive; research object; cultural artifact,rare,false,Information preservation does not imply conscious experience.
END-LEG-001,LEG,Self-Owned Permanent Citizen,,The protagonist retains recognized ownership and substantial legal control over her Permanent Form.,,Legal,flexible,flexible,Unconscious,Protected Permanent Citizen,Self,Represented or Independent by directive,route-derived,route-derived,citizen,uncommon,false,Favorable legal outcome; still permanent.
END-LEG-002,LEG,Fixture Attached to Land,,The law determines that the protagonist has become part of real property; ownership follows the building or land.,,Legal; Architectural,stone; concrete; metal; mixed,architectural component,Unconscious,Fixture Attached to Land,Property Owner,None or Represented,route-derived,building; infrastructure,fixture; infrastructure,uncommon,false,Rare awareness overrides can make this substantially darker.
END-FIN-001,FIN,Collateral Realized,,A creditor's claim against the protagonist's projected Permanent Form becomes enforceable.,,Finance,precious metal; gemstone; valuable stone; compatible other,statue; preserved humanoid; asset object,Unconscious,Asset or Limited Person,Creditor,None or Restricted,route-derived,creditor custody; auction storage; display,collateral; asset,uncommon,false,The valuation was accurate.
END-FIN-002,FIN,Paid in Full,,A debt-for-preservation arrangement eliminates the protagonist's financial obligations by creating a different sort of obligation.,,Finance; Medical; Corporate,flexible,flexible,Unconscious,Asset or Contractual Post-Mobile Citizen,Creditor or Corporation,Contractual or None,route-derived,route-derived,settlement asset; preserved debtor,common,false,Outstanding Debt: 0.
END-FAM-001,FAM,Family Heirloom,,The protagonist remains physically within the family across generations.,,Family; Inheritance,wood; porcelain; stone; metal; crystal,statue; figurine; preserved figure,Unconscious,Estate; Family Property; Post-Mobile Citizen,Family; Self via trust; Shared,Represented or Restricted,route-derived,family home,heirloom; family presence,common,false,Tone can range from affectionate to possessive.
